,nome_do_filme,linguagem,classificaçao_do_publico,tempo_de_execução,ano_de_lançamento,classificaçao_etária,enredo
0,John Rambo,Tamil,7,1 h 26 min,2008,18+,"In Thailand, John Rambo joins a group of mercenaries to venture into war-torn Burma, and rescue a group of Christian aid workers who were kidnapped by the ruthless local infantry unit."
1,American Pie,English,7,1 h 35 min,1999,18+,"You'll never look at warm apple pie the same way again! American Pie takes a hysterical look at the goal of four ""unlucky in love"" high school friends who make the ultimate pact: lose their virginity by prom night. Follow the raging hormones of four teenage boys and their girls as they gear up for the most important night of their lives.  Sit back and enjoy a piece of America's #1 comedy hit!"
2,Bombshell,English,6.8,1 h 48 min,2019,18+,"The provocative real story of three smart, ambitious, strong women who anchored one of America's top news networks-and risked everything to stand up to the man who made them."
3,Love Birds,Tamil,5.1,2 h 40 min,1996,All,"After accidentally meeting, Mridula (Nagma) and Arun (Prabhu Deva) fall in love. However, a few months into their relationship, Arun and Mridhula meet with an accident and he passes away. A devastated Mridula meets a person who looks exactly like her Arun. What happens next is the rest of the movie."
4,Hippi,Telugu,5,2 h 20 min,2019,18+,Hippi is about the live-in relationship between an energetic youngster and a confident girl.
5,Honey Bunny As Super Team X,Tamil,None,49min,2018,7+,"Flamingo a Hitech Thief has created chaos in the city with his unique and stylish robberies, Honey , Bunny , Zordar and popat turn vigilante’s and transform into super team X to fight Flamingo without revealing their identities. Khanna’s Uncle who is also a scientist help them built super cool gadgets to fight the villain. They must defeat flamingo before his next big robbery."
6,Ayyaa,Tamil,5.7,2 h 39 min,2005,All,"Ayyaa Is A Super Hit Tamil Action Movie, Directed By Hari, Starring Sarath Kumar And Nayanthara In The Lead Roles. Local MLA Ayya Gains An Opponent In Karuppusamy, The Son Of A Corrupt MLA Whom He Killed In The Past. Thirsty For Revenge, Karuppusamy Tries To Create Different Problems For Ayya."
7,Mukhya Mantri,Bengali,None,1 h 57 min,1996,NR,Mukhya Mantri' is the story of a poor school teacher Bimal Choudhury who is forced by his family members to contest state legislative elections against the corrupt MLA Bibhash Choudhury. The Chief Minister announces that he’ll make Bimal the CM if he wins the election as he was sure he won't win the election. But the well-wisher of people who helps people in need is a popular figure in the ...
8,Gandhi Fer Aa Gea,Punjabi,4.9,2 h 13 mins,2020,13+,"Gandhi returns home from a ten year long sentence in jail, only to realize that his village is plagued with gang wars, drug dealers, casteism, poverty and dirty politics. He makes it his personal mission to save the village, but will he be able to save his family alongside it? Or will they, including his beloved sister Balli, get sidelined?"
9,Premada Vayasu,Kannada,6,1 h 56 min,1997,NR,"Premada Vayasu is a 1997 Indian Kannada film, directed by Shiv Kumar and produced by J Govindrajulu. The film stars Lekhpandey, Padmaja, T Prabhakar Reddy, Rukmini, J Babukhan in lead roles. The film had musical score by Nagesh Kumar."
10,Tum Se Achcha Kaun Hai,Hindi,4.5,2 h 21 min,2002,All,"The daughter of a rich tycoon helps Arjun become a singing star. But she falls in love with him, unaware that he is already in love with another girl."
11,Swamy,Kannada,6,2 h 34 min,2005,All,"Swamy is a 2005 Indian Kannada romantic action film directed and co-written by M. S. Ramesh and produced by Bharathi Basavaraju. The main cast includes Darshan, Gayatri Jayaraman and Avinash besides Jai Jagadish and Rangayana Raghu in other pivotal roles. The film was released on 30 September 2005 across Karnataka cinema halls and received a mixed response from critics and audiences."
